Position, RaceName,Date,Time,Winner
15,Lomonds of Fife Hill Race,19/08/2007,1:41:50,114.0%
10,Red Moss Revolution,15/08/2007,0:38:10,107.7%
3,Caerketton Hill Race,08/08/2007,0:14:04,103.6%
2,Creag Dhubh Hill Race,04/08/2007,0:30:43,105.0%
4,Ben Rinnes Hill Race,28/07/2007,2:13:05,104.5%
5,Turnhouse Hill Race,25/07/2007,0:29:49,106.7%
3,Maddy Moss Hill Race,18/07/2007,0:54:25,103.3%
21,Glen Clova Hill Race,14/07/2007,3:02:11,114.5%
43,Cow Hill Race,09/07/2007,0:34:15,185.1%
22,Dumyat Hill Race,09/05/2007,0:38:20,116.6%
13,Whangie Whizz,25/04/2007,0:31:39,112.2%
5,Craig Dunain Hill Race,07/04/2007,0:36:26,109.4%
22,Carnethy 5 Hill Race,17/02/2007,0:55:49,116.3%
8,Aonach Mor Uphill (New Year),01/01/2007,0:26:20,109.3%
8,Meall a`Bhuachaille,25/11/2006,0:56:53,112.4%
15,Ben Nevis Race,02/09/2006,1:46:48,119.3%
5,Lomonds of Fife Hill Race,20/08/2006,1:43:54,108.1%
8,Moffat Chase,15/07/2006,3:24:44,116.8%
31,Dollar Hill Race,01/07/2006,1:21:22,113.2%
6,Glen Rosa Horseshoe,10/06/2006,2:42:02,109.1%
10,Scolty Hill Race,04/06/2006,0:35:56,108.6%
8,Kinnoull Hill Race,17/05/2006,0:28:15,109.2%
22,Ben Lomond Hill Race,06/05/2006,1:15:59,115.2%
6,Whangie Whizz,26/04/2006,0:30:24,108.1%
10,Ben Nevis Race,03/09/2005,1:40:08,112.0%
4,Lomonds of Fife Hill Race,21/08/2005,1:11:57,105.5%
11,Yetholm Hill Race,12/06/2005,1:11:32,111.9%
4,Stuc a`Chroin Hill Race,30/04/2005,2:30:58,106.3%
10,Criffel Hill Race,20/03/2005,1:02:43,120.2%
